maturity,yield,estimated
3,,15.8991284188807
6,,15.796575453765676
9,,15.702306849000504
12,,15.617205131106601
18,15.45,15.470185180379206
20,15.45,15.427009718534869
21,15.45,15.406387462692862
24,,15.348101209042152
34,14.95,15.18674608132294
36,,15.159582938636374
41,15.24,15.097813725084524
47,15.206,15.033752145396887
48,,15.02401202737772
54,14.85,14.970472296617412
56,15.023,14.95432668731022
60,,14.924290335999817
66,14.8,14.88423818795542
84,,14.791738528007636
117,14.7,14.688068415158211
120,,14.681276708055771
240,,14.54702703110087
