maturity,yield,estimated
3,,14.846181080649727
6,,15.212435571161292
9,,15.397983453969458
12,,15.474243505773417
18,15.45,15.461838486696843
20,15.45,15.434293317273594
21,15.45,15.418479809989034
24,,15.366544270149715
34,14.95,15.192447676376432
36,,15.161762740824717
41,15.24,15.092838210337142
47,15.206,15.023903792149763
48,,15.013722957066099
54,14.85,14.959359678982556
56,15.023,14.943515257143344
60,,14.91472458108102
66,14.8,14.877692485183209
84,,14.797517126217883
117,14.7,14.714224379356043
120,,14.708921824775716
240,,14.60551980320982
